score,label,%Positive Sentiment,%Negative Sentiment,%Neutral Sentiment
9.3,1,0.012790697674418604,0.0034883720930232558,0.9837209302325581
7.9,1,0.014492753623188406,0.010869565217391304,0.9746376811594203
7.3,1,0.012269938650306749,0.009202453987730062,0.9785276073619632
9.0,1,0.021476510067114093,0.0026845637583892616,0.9758389261744966
8.1,1,0.03559870550161812,0.003236245954692557,0.9611650485436893
7.4,1,0.023094688221709007,0.025404157043879907,0.9515011547344111
7.1,1,0.031073446327683617,0.002824858757062147,0.9661016949152542
7.0,1,0.011583011583011582,0.0,0.9884169884169884
7.7,1,0.012254901960784314,0.0,0.9877450980392157
5.3,0,0.030612244897959183,0.027210884353741496,0.9421768707482994
8.0,1,0.012738853503184714,0.006369426751592357,0.9808917197452229
8.6,1,0.025806451612903226,0.012903225806451613,0.9612903225806452
7.6,1,0.022857142857142857,0.014285714285714285,0.9628571428571429
3.5,0,0.02064896755162242,0.0029498525073746312,0.976401179941003
7.4,1,0.019943019943019943,0.011396011396011397,0.9686609686609686
6.6,0,0.016697588126159554,0.0037105751391465678,0.9795918367346939
7.4,1,0.010917030567685589,0.002183406113537118,0.9868995633187773
8.1,1,0.03896103896103896,0.0055658627087198514,0.9554730983302412
7.2,1,0.030162412993039442,0.004640371229698376,0.9651972157772621
7.0,1,0.04153354632587859,0.006389776357827476,0.952076677316294
7.5,1,0.018575851393188854,0.0030959752321981426,0.978328173374613
6.3,0,0.02608695652173913,0.017391304347826087,0.9565217391304348
7.8,1,0.0199203187250996,0.0099601593625498,0.9701195219123506
6.5,0,0.021551724137931036,0.010775862068965518,0.9676724137931034
7.3,1,0.009569377990430622,0.0215311004784689,0.9688995215311005
6.8,0,0.03636363636363636,0.010101010101010102,0.9535353535353536
8.2,1,0.013937282229965157,0.006968641114982578,0.9790940766550522
6.8,0,0.0070921985815602835,0.0070921985815602835,0.9858156028368794
9.0,1,0.00963855421686747,0.0,0.9903614457831326
4.4,0,0.03305785123966942,0.008264462809917356,0.9586776859504132
